word,count
京东,3074
不错,2738
苹果,1868
可以,1562
感觉,1284
东西,1265
非常,1201
喜欢,1180
手机,1125
快递,945
包装,932
一直,893
本书,855
收到,831
自己,820
而且,812
但是,776
真的,722
速度,706
问题,704
比较,694
屏幕,694
不好,689
味道,681
华为,668
时候,663
支持,661
这样,657
质量,647
一样,642
客服,641
物流,641
价格,637
购买,636
满意,635
差评,632
有点,623
平板,621
现在,613
新鲜,596
效果,587
第一次,575
一次,575
水果,565
还有,559
以后,555
特别,553
超市,553
很多,551
好吃,548
孩子,545
功能,538
觉得,537
不能,532
便宜,532
洗发水,529
失望,526
一点,521
这次,504
这么,503
我们,488
值得,475
活动,475
一般,462
应该,450
使用,450
垃圾,448
送货,443
希望,441
已经,435
不会,433
很快,432
不过,428
购物,419
大家,416
那么,410
怎么,402
评价,400
头发,397
因为,387
结果,370
时间,369
正品,369
看到,361
不要,361
服务,360
里面,358
所以,358
产品,353
起来,346
如果,344
虽然,342
方便,339
打开,334
实惠,331
个头,329
假货,329
以前,328
今天,324
朋友,323
