user_id,R,F,M,R_score,F_score,M_score,RFM,label
2,2,7,1307.2,1,1,1,111,核心价值用户
4,4,4,570.4,0,1,1,011,重点保持用户
16,3,2,169.3,0,1,0,010,一般保持用户
17,3,1,62.7,0,0,0,000,流失用户
20,3,1,37.9,0,0,0,000,流失用户
25,5,2,626.8,0,1,1,011,重点保持用户
27,3,1,11.4,0,0,0,000,流失用户
28,2,3,144.6,1,1,0,110,高潜力用户
33,4,3,321.1,0,1,1,011,重点保持用户
38,3,1,93.1,0,0,0,000,流失用户
39,2,4,367.0,1,1,1,111,核心价值用户
40,3,1,195.0,0,0,0,000,流失用户
41,2,11,1435.7,1,1,1,111,核心价值用户
43,1,6,528.3,1,1,1,111,核心价值用户
44,6,1,112.4,0,0,0,000,流失用户
45,1,4,511.1,1,1,1,111,核心价值用户
46,2,5,244.99999999999997,1,1,1,111,核心价值用户
48,1,1,63.6,1,0,0,100,一般发展用户
49,1,1,150.4,1,0,0,100,一般发展用户
50,1,18,3154.3999999999996,1,1,1,111,核心价值用户
51,2,1,149.6,1,0,0,100,一般发展用户
57,2,2,314.6,1,1,1,111,核心价值用户
61,1,5,645.2,1,1,1,111,核心价值用户
62,1,3,679.0,1,1,1,111,核心价值用户
63,6,1,155.2,0,0,0,000,流失用户
65,1,2,197.2,1,1,0,110,高潜力用户
66,1,4,320.4,1,1,1,111,核心价值用户
68,1,3,416.4,1,1,1,111,核心价值用户
71,3,1,19.6,0,0,0,000,流失用户
72,3,2,280.9,0,1,1,011,重点保持用户
73,3,2,224.6,0,1,1,011,重点保持用户
75,1,8,853.5999999999999,1,1,1,111,核心价值用户
76,4,1,340.0,0,0,1,001,高消费沉睡用户
77,2,2,462.6,1,1,1,111,核心价值用户
80,3,4,334.3,0,1,1,011,重点保持用户
81,5,2,78.4,0,1,0,010,一般保持用户
88,1,1,190.8,1,0,0,100,一般发展用户
91,1,1,105.4,1,0,0,100,一般发展用户
95,5,1,223.2,0,0,1,001,高消费沉睡用户
96,3,2,302.9,0,1,1,011,重点保持用户
98,2,2,277.20000000000005,1,1,1,111,核心价值用户
101,1,7,727.3,1,1,1,111,核心价值用户
108,1,2,24.1,1,1,0,110,高潜力用户
109,2,2,152.8,1,1,0,110,高潜力用户
110,6,1,197.2,0,0,0,000,流失用户
113,2,1,216.4,1,0,1,101,高消费流失预警用户
114,1,5,600.8,1,1,1,111,核心价值用户
116,2,2,248.3,1,1,1,111,核心价值用户
117,6,3,628.4,0,1,1,011,重点保持用户
119,5,3,264.09999999999997,0,1,1,011,重点保持用户
120,6,2,360.30000000000007,0,1,1,011,重点保持用户
122,2,2,437.2,1,1,1,111,核心价值用户
123,2,2,290.20000000000005,1,1,1,111,核心价值用户
126,5,1,122.0,0,0,0,000,流失用户
128,1,4,833.7,1,1,1,111,核心价值用户
129,1,11,1259.0,1,1,1,111,核心价值用户
130,1,3,378.4,1,1,1,111,核心价值用户
131,2,3,301.8,1,1,1,111,核心价值用户
132,6,1,256.0,0,0,1,001,高消费沉睡用户
135,4,1,86.0,0,0,0,000,流失用户
136,4,2,219.7,0,1,1,011,重点保持用户
137,2,1,44.5,1,0,0,100,一般发展用户
140,5,1,94.2,0,0,0,000,流失用户
143,3,2,75.7,0,1,0,010,一般保持用户
146,1,4,460.0,1,1,1,111,核心价值用户
147,1,5,477.5,1,1,1,111,核心价值用户
149,3,1,282.9,0,0,1,001,高消费沉睡用户
150,2,5,630.7,1,1,1,111,核心价值用户
151,2,2,148.7,1,1,0,110,高潜力用户
152,1,3,1032.8,1,1,1,111,核心价值用户
153,6,1,41.400000000000006,0,0,0,000,流失用户
154,2,1,269.70000000000005,1,0,1,101,高消费流失预警用户
156,2,1,101.10000000000001,1,0,0,100,一般发展用户
157,2,1,81.0,1,0,0,100,一般发展用户
158,3,1,298.8,0,0,1,001,高消费沉睡用户
162,2,1,201.2,1,0,0,100,一般发展用户
168,1,2,79.3,1,1,0,110,高潜力用户
170,6,1,108.30000000000001,0,0,0,000,流失用户
172,6,1,42.4,0,0,0,000,流失用户
173,3,5,539.6,0,1,1,011,重点保持用户
174,3,1,11.7,0,0,0,000,流失用户
178,3,2,228.0,0,1,1,011,重点保持用户
182,2,1,43.6,1,0,0,100,一般发展用户
183,4,1,49.3,0,0,0,000,流失用户
184,1,2,122.7,1,1,0,110,高潜力用户
186,3,1,165.4,0,0,0,000,流失用户
190,2,2,316.2,1,1,1,111,核心价值用户
192,1,8,887.3,1,1,1,111,核心价值用户
196,3,3,450.1,0,1,1,011,重点保持用户
200,3,1,107.69999999999999,0,0,0,000,流失用户
201,6,1,27.0,0,0,0,000,流失用户
202,4,1,19.200000000000003,0,0,0,000,流失用户
204,4,1,25.2,0,0,0,000,流失用户
206,4,1,43.5,0,0,0,000,流失用户
208,1,3,485.40000000000003,1,1,1,111,核心价值用户
209,2,2,267.9,1,1,1,111,核心价值用户
210,1,2,153.4,1,1,0,110,高潜力用户
212,2,2,134.1,1,1,0,110,高潜力用户
214,1,2,433.09999999999997,1,1,1,111,核心价值用户
215,1,1,60.0,1,0,0,100,一般发展用户
216,3,5,770.8,0,1,1,011,重点保持用户
221,3,1,33.8,0,0,0,000,流失用户
223,2,1,189.60000000000002,1,0,0,100,一般发展用户
225,4,4,531.8000000000001,0,1,1,011,重点保持用户
226,5,3,226.39999999999998,0,1,1,011,重点保持用户
227,1,2,103.5,1,1,0,110,高潜力用户
230,6,2,189.7,0,1,0,010,一般保持用户
231,4,2,118.19999999999999,0,1,0,010,一般保持用户
232,2,2,428.8,1,1,1,111,核心价值用户
233,1,2,290.2,1,1,1,111,核心价值用户
238,5,1,55.1,0,0,0,000,流失用户
240,1,2,525.2,1,1,1,111,核心价值用户
241,4,3,559.5,0,1,1,011,重点保持用户
244,2,1,92.5,1,0,0,100,一般发展用户
245,1,5,667.7,1,1,1,111,核心价值用户
246,4,1,44.9,0,0,0,000,流失用户
248,3,2,436.5,0,1,1,011,重点保持用户
249,5,2,168.60000000000002,0,1,0,010,一般保持用户
251,2,6,879.7,1,1,1,111,核心价值用户
252,1,9,940.3000000000001,1,1,1,111,核心价值用户
254,3,1,166.6,0,0,0,000,流失用户
255,6,1,58.6,0,0,0,000,流失用户
256,4,6,1462.0,0,1,1,011,重点保持用户
257,6,1,83.9,0,0,0,000,流失用户
259,3,2,402.8,0,1,1,011,重点保持用户
264,2,2,198.79999999999998,1,1,0,110,高潜力用户
266,1,1,90.0,1,0,0,100,一般发展用户
268,5,1,195.89999999999998,0,0,0,000,流失用户
273,4,1,34.5,0,0,0,000,流失用户
274,1,2,150.8,1,1,0,110,高潜力用户
275,1,3,634.2,1,1,1,111,核心价值用户
276,3,4,379.70000000000005,0,1,1,011,重点保持用户
277,2,3,171.90000000000003,1,1,0,110,高潜力用户
