summary_type,name,count,percentage,avg_sentiment_score,negative_count,negative_rate
aspect,质量,705,0.3967,0.0981,305,0.4326
aspect,体验,415,0.2335,0.3668,109,0.2627
aspect,价格,184,0.1035,0.1739,70,0.3804
aspect,物流,177,0.0996,0.3006,54,0.3051
aspect,服务,148,0.0833,-0.2193,96,0.6486
aspect,包装,91,0.0512,-0.1165,51,0.5604
aspect,售后,57,0.0321,-0.6018,50,0.8772
negative_reason,疑似假货,13,0.0145,0.0,13,1.0
negative_reason,赠品缺失,11,0.0123,0.0,11,1.0
negative_reason,质量差,9,0.01,0.0,9,1.0
negative_reason,包装破损,9,0.01,0.0,9,1.0
negative_reason,效果差,8,0.0089,0.0,8,1.0
negative_reason,性价比低,7,0.0078,0.0,7,1.0
negative_reason,客服态度差,7,0.0078,0.0,7,1.0
negative_reason,物流慢,6,0.0067,0.0,6,1.0
negative_reason,价格贵,6,0.0067,0.0,6,1.0
negative_reason,内存小,6,0.0067,0.0,6,1.0
negative_reason,不新鲜,6,0.0067,0.0,6,1.0
negative_reason,电池不耐用,5,0.0056,0.0,5,1.0
negative_reason,卡顿,5,0.0056,0.0,5,1.0
negative_reason,刚买就降价,5,0.0056,0.0,5,1.0
negative_reason,价格高,5,0.0056,0.0,5,1.0
negative_reason,服务差,5,0.0056,0.0,5,1.0
negative_reason,水果不新鲜,4,0.0045,0.0,4,1.0
negative_reason,怀疑假货,4,0.0045,0.0,4,1.0
negative_reason,包装简陋,4,0.0045,0.0,4,1.0
negative_reason,售后差,4,0.0045,0.0,4,1.0
negative_reason,短期降价,4,0.0045,0.0,4,1.0
negative_reason,缺少配件,4,0.0045,0.0,4,1.0
negative_reason,反应慢,4,0.0045,0.0,4,1.0
negative_reason,分辨率低,4,0.0045,0.0,4,1.0
negative_reason,个头太小,4,0.0045,0.0,4,1.0
negative_reason,发货慢,3,0.0033,0.0,3,1.0
negative_reason,水果腐烂,3,0.0033,0.0,3,1.0
negative_reason,赠品未兑现,3,0.0033,0.0,3,1.0
negative_reason,客服推诿,3,0.0033,0.0,3,1.0
negative_reason,产品质量差,3,0.0033,0.0,3,1.0
negative_reason,物流延误,3,0.0033,0.0,3,1.0
negative_reason,假货,3,0.0033,0.0,3,1.0
negative_reason,头皮痒,3,0.0033,0.0,3,1.0
negative_reason,头皮屑多,3,0.0033,0.0,3,1.0
negative_reason,送货慢,3,0.0033,0.0,3,1.0
negative_reason,苹果太小,3,0.0033,0.0,3,1.0
negative_reason,内容无聊,2,0.0022,0.0,2,1.0
negative_reason,不值得买,2,0.0022,0.0,2,1.0
negative_reason,配件缺失,2,0.0022,0.0,2,1.0
negative_reason,系统卡顿,2,0.0022,0.0,2,1.0
negative_reason,手机卡顿,2,0.0022,0.0,2,1.0
negative_reason,自动关机,2,0.0022,0.0,2,1.0
negative_reason,电池续航差,2,0.0022,0.0,2,1.0
negative_reason,缺少耳机,2,0.0022,0.0,2,1.0
negative_reason,购物体验差,2,0.0022,0.0,2,1.0
negative_reason,配件少,2,0.0022,0.0,2,1.0
negative_reason,屏幕模糊,2,0.0022,0.0,2,1.0
negative_reason,未收到货,2,0.0022,0.0,2,1.0
negative_reason,个头小,2,0.0022,0.0,2,1.0
negative_reason,客服处理不当,2,0.0022,0.0,2,1.0
negative_reason,苹果质量差,2,0.0022,0.0,2,1.0
negative_reason,苹果不新鲜,2,0.0022,0.0,2,1.0
negative_reason,口感差,2,0.0022,0.0,2,1.0
negative_reason,未送货上门,2,0.0022,0.0,2,1.0
negative_reason,发霉,2,0.0022,0.0,2,1.0
negative_reason,欺骗消费者,2,0.0022,0.0,2,1.0
negative_reason,苹果腐烂,2,0.0022,0.0,2,1.0
negative_reason,快递慢,2,0.0022,0.0,2,1.0
negative_reason,内容肤浅,2,0.0022,0.0,2,1.0
negative_reason,苹果尺寸过小,2,0.0022,0.0,2,1.0
negative_reason,难吃,2,0.0022,0.0,2,1.0
negative_reason,快递员态度差,2,0.0022,0.0,2,1.0
negative_reason,品质差,2,0.0022,0.0,2,1.0
negative_reason,使用效果差,2,0.0022,0.0,2,1.0
negative_reason,价格虚高,2,0.0022,0.0,2,1.0
negative_reason,售后推诿,2,0.0022,0.0,2,1.0
negative_reason,声音小,2,0.0022,0.0,2,1.0
negative_reason,容量太小,2,0.0022,0.0,2,1.0
negative_reason,分辨率差,2,0.0022,0.0,2,1.0
negative_reason,导致头皮屑,2,0.0022,0.0,2,1.0
negative_reason,音质差,2,0.0022,0.0,2,1.0
negative_reason,内容简单,2,0.0022,0.0,2,1.0
negative_reason,非正品,2,0.0022,0.0,2,1.0
negative_reason,产品泄漏,2,0.0022,0.0,2,1.0
negative_reason,果小,2,0.0022,0.0,2,1.0
negative_reason,降价不退差价,2,0.0022,0.0,2,1.0
negative_reason,送货速度慢,2,0.0022,0.0,2,1.0
negative_reason,质地稀薄,2,0.0022,0.0,2,1.0
negative_reason,内容空洞,2,0.0022,0.0,2,1.0
negative_reason,发货延迟,2,0.0022,0.0,2,1.0
negative_reason,虚假宣传,2,0.0022,0.0,2,1.0
negative_reason,显示模糊,2,0.0022,0.0,2,1.0
negative_reason,运行卡顿,2,0.0022,0.0,2,1.0
negative_reason,误导消费者,2,0.0022,0.0,2,1.0
negative_reason,运行速度慢,1,0.0011,0.0,1,1.0
negative_reason,内存空间小,1,0.0011,0.0,1,1.0
negative_reason,缺少发票,1,0.0011,0.0,1,1.0
negative_reason,担心保修,1,0.0011,0.0,1,1.0
negative_reason,半年出问题,1,0.0011,0.0,1,1.0
negative_reason,忽悠消费者,1,0.0011,0.0,1,1.0
negative_reason,刚收货就降价,1,0.0011,0.0,1,1.0
negative_reason,屏幕发黄,1,0.0011,0.0,1,1.0
negative_reason,价格下降,1,0.0011,0.0,1,1.0
negative_reason,客服不回复,1,0.0011,0.0,1,1.0
negative_reason,像素太差,1,0.0011,0.0,1,1.0
negative_reason,欺诈,1,0.0011,0.0,1,1.0
negative_reason,产品老旧,1,0.0011,0.0,1,1.0
negative_reason,缺少贴膜,1,0.0011,0.0,1,1.0
negative_reason,声音延迟,1,0.0011,0.0,1,1.0
negative_reason,卡槽不匹配,1,0.0011,0.0,1,1.0
negative_reason,售后未退款,1,0.0011,0.0,1,1.0
negative_reason,失望,1,0.0011,0.0,1,1.0
negative_reason,使用两天黑屏,1,0.0011,0.0,1,1.0
negative_reason,系统慢,1,0.0011,0.0,1,1.0
negative_reason,售后服务差,1,0.0011,0.0,1,1.0
negative_reason,像素低,1,0.0011,0.0,1,1.0
negative_reason,服务糟糕,1,0.0011,0.0,1,1.0
negative_reason,价格不实惠,1,0.0011,0.0,1,1.0
negative_reason,手机故障,1,0.0011,0.0,1,1.0
negative_reason,无法退货,1,0.0011,0.0,1,1.0
negative_reason,视频卡顿,1,0.0011,0.0,1,1.0
negative_reason,通话故障,1,0.0011,0.0,1,1.0
negative_reason,售后网点远,1,0.0011,0.0,1,1.0
negative_reason,无法退换,1,0.0011,0.0,1,1.0
negative_reason,与小米手表相比很一般,1,0.0011,0.0,1,1.0
negative_reason,产品不断有问题,1,0.0011,0.0,1,1.0
negative_reason,客服无有用回答,1,0.0011,0.0,1,1.0
negative_reason,问题未解决,1,0.0011,0.0,1,1.0
negative_reason,不答应换货,1,0.0011,0.0,1,1.0
negative_reason,印刷不清晰,1,0.0011,0.0,1,1.0
negative_reason,WiFi下看剧卡顿,1,0.0011,0.0,1,1.0
negative_reason,限制领优惠券,1,0.0011,0.0,1,1.0
negative_reason,钢化膜有角贴不上,1,0.0011,0.0,1,1.0
negative_reason,手机反应慢,1,0.0011,0.0,1,1.0
negative_reason,买后降价,1,0.0011,0.0,1,1.0
negative_reason,未送赠品,1,0.0011,0.0,1,1.0
negative_reason,3G版卡顿严重,1,0.0011,0.0,1,1.0
negative_reason,拍照死机,1,0.0011,0.0,1,1.0
negative_reason,手机故障频发,1,0.0011,0.0,1,1.0
negative_reason,少送东西,1,0.0011,0.0,1,1.0
negative_reason,充电口难插,1,0.0011,0.0,1,1.0
negative_reason,做工差,1,0.0011,0.0,1,1.0
negative_reason,蓝牙无线网连不上,1,0.0011,0.0,1,1.0
negative_reason,疑似返修机,1,0.0011,0.0,1,1.0
negative_reason,手机不怎么样,1,0.0011,0.0,1,1.0
negative_reason,什么都没送,1,0.0011,0.0,1,1.0
negative_reason,老板太抠门,1,0.0011,0.0,1,1.0
negative_reason,显示不够高清,1,0.0011,0.0,1,1.0
negative_reason,UI不够好,1,0.0011,0.0,1,1.0
negative_reason,软件适配不完美,1,0.0011,0.0,1,1.0
negative_reason,电池一般,1,0.0011,0.0,1,1.0
negative_reason,虚拟导航键讨厌,1,0.0011,0.0,1,1.0
negative_reason,没送东西,1,0.0011,0.0,1,1.0
negative_reason,没发票,1,0.0011,0.0,1,1.0
negative_reason,疑似翻新机,1,0.0011,0.0,1,1.0
negative_reason,屏保给错,1,0.0011,0.0,1,1.0
negative_reason,游戏闪退,1,0.0011,0.0,1,1.0
negative_reason,不值这个价钱,1,0.0011,0.0,1,1.0
negative_reason,价格偏贵,1,0.0011,0.0,1,1.0
negative_reason,后台软件骗流量,1,0.0011,0.0,1,1.0
negative_reason,疑似水货,1,0.0011,0.0,1,1.0
negative_reason,通话无声,1,0.0011,0.0,1,1.0
negative_reason,wifi信号差,1,0.0011,0.0,1,1.0
negative_reason,屏幕拖影严重,1,0.0011,0.0,1,1.0
negative_reason,屏幕色差大,1,0.0011,0.0,1,1.0
negative_reason,包装无填充物,1,0.0011,0.0,1,1.0
negative_reason,黑边宽,1,0.0011,0.0,1,1.0
negative_reason,手机弯曲,1,0.0011,0.0,1,1.0
negative_reason,售后不保修,1,0.0011,0.0,1,1.0
negative_reason,商品差,1,0.0011,0.0,1,1.0
negative_reason,屏幕失灵,1,0.0011,0.0,1,1.0
negative_reason,客服忽悠,1,0.0011,0.0,1,1.0
negative_reason,客服要求截图,1,0.0011,0.0,1,1.0
negative_reason,价格降幅大,1,0.0011,0.0,1,1.0
negative_reason,质量怀疑,1,0.0011,0.0,1,1.0
negative_reason,赠品消失,1,0.0011,0.0,1,1.0
negative_reason,无故封号,1,0.0011,0.0,1,1.0
negative_reason,客服扯皮,1,0.0011,0.0,1,1.0
negative_reason,质量不好,1,0.0011,0.0,1,1.0
negative_reason,派送员态度差,1,0.0011,0.0,1,1.0
negative_reason,验货被拒,1,0.0011,0.0,1,1.0
negative_reason,售后无作为,1,0.0011,0.0,1,1.0
negative_reason,快递员擅自放保安室,1,0.0011,0.0,1,1.0
negative_reason,整体失望,1,0.0011,0.0,1,1.0
negative_reason,快递员未通知,1,0.0011,0.0,1,1.0
negative_reason,未让签收,1,0.0011,0.0,1,1.0
negative_reason,翻新机,1,0.0011,0.0,1,1.0
negative_reason,黑心卖家,1,0.0011,0.0,1,1.0
negative_reason,价格频繁波动,1,0.0011,0.0,1,1.0
negative_reason,价保被拒,1,0.0011,0.0,1,1.0
negative_reason,触屏反应慢,1,0.0011,0.0,1,1.0
negative_reason,经常卡屏,1,0.0011,0.0,1,1.0
negative_reason,保价期过无法维权,1,0.0011,0.0,1,1.0
negative_reason,伤透了心,1,0.0011,0.0,1,1.0
negative_reason,充电时触摸屏失灵,1,0.0011,0.0,1,1.0
negative_reason,质量垃圾,1,0.0011,0.0,1,1.0
negative_reason,首次发货是坏机,1,0.0011,0.0,1,1.0
negative_reason,客服周旋浪费时间,1,0.0011,0.0,1,1.0
negative_reason,评价系统问题,1,0.0011,0.0,1,1.0
negative_reason,产品太小,1,0.0011,0.0,1,1.0
negative_reason,物流速度慢,1,0.0011,0.0,1,1.0
negative_reason,屏幕拖尾,1,0.0011,0.0,1,1.0
negative_reason,一周内降价,1,0.0011,0.0,1,1.0
negative_reason,购后两天降价,1,0.0011,0.0,1,1.0
negative_reason,双11后一天降价,1,0.0011,0.0,1,1.0
negative_reason,缺少闪光灯,1,0.0011,0.0,1,1.0
negative_reason,性能差,1,0.0011,0.0,1,1.0
negative_reason,误导性促销,1,0.0011,0.0,1,1.0
negative_reason,客服否认,1,0.0011,0.0,1,1.0
